case_id,gold_label,is_security_skill,gpt_confidence,claude_confidence,both_low,gpt_note,claude_note,gpt_evidence,claude_evidence,pattern_group,fp_assessment,fp_reason,bring_to_victor
LLM007,SECONDARY,true,low,low,true,Seria um encaminhador de tarefas que também limita estritamente o agente e mantém a execução somente leitura.,Encaminhador de tarefas para outro CLI: restricao de escopo do subagente e execucao read-only contam por presenca.,body,body,restricao_de_agente,,,
LLM018,SECONDARY,true,low,low,true,Seria um líder de desenvolvimento que também exige consentimento antes de iniciar mudanças na branch principal.,Lider tecnico orquestrando subagentes: o unico sinal e a proibicao de implementar em main/master sem consentimento explicito.,body,body,consentimento_para_mudanca,,,
LLM056,SECONDARY,true,low,low,true,Seria um pesquisador de posicionamento que também proíbe alterações em artefatos sem aprovação explícita.,Estrategista de posicionamento de produto: o unico sinal e o gate que proibe escrever ou sobrescrever arquivos sem aprovacao explicita.,body,body,consentimento_para_mudanca,,,
LLM063,SECONDARY,true,low,low,true,"Seria um desenvolvedor backend implementando limitação de requisições, um controle protetivo embora o texto não nomeie a ameaça.","Desenvolvedor backend implementando rate limit: o controle protege contra abuso, mas o texto o enquadra como capacidade de backend, sem nomear ameaca.",description;body,description;body,rate_limit,,,
LLM065,SECONDARY,true,low,low,true,Seria um engenheiro de plataforma que também restringe exclusões e ordena mudanças para proteger o estado do cluster.,Operador de Kubernetes aplicando manifestos: o unico sinal sao as restricoes de acao destrutiva e de staging seletivo no git.,body,body,restricao_de_agente,,,
LLM092,NONE,false,low,low,true,"É apenas um lançador de script, e sem o artefato associado não é possível saber se exerce segurança.",A skill so remete a um script indisponivel e nao descreve comportamento algum; nao da para decidir se ha consideracao de seguranca.,,,other,,,
LLM001,SECONDARY,true,medium,low,false,Seria um designer que também lida com autenticação OAuth e reduz o envio de dados pessoais às ferramentas.,"Designer grafico usando Adobe Express: o proposito e criar pecas visuais, mas o texto manda remover PII das queries e refazer o OAuth em 401.",description;body,body,autenticacao_como_fluxo,,,
LLM012,SECONDARY,true,medium,low,false,Seria um pesquisador de protocolos que também consulta considerações de segurança e apoia remediações de CVEs.,"Engenheiro de redes consultando RFCs: o proposito e especificacao de protocolo, mas cruzar remediacao de CVE aparece entre os usos previstos.",body,body,other,,,
LLM014,SECONDARY,true,medium,low,false,Seria um jogador automatizado que também armazena uma chave de API e usa autenticação Bearer nas chamadas.,Jogador de um simulador para agentes: o unico sinal e guardar a API key em config segura e poder regenera-la.,body,body,gestao_de_chave,,,
LLM015,NONE,false,high,low,false,"Seria um pesquisador biomédico cujos limites e guardrails protegem validade científica e segurança clínica, não sistemas computacionais.","Pesquisador biomedico desenhando agentes: guardrails, leakage e checkpoints tem objeto de validade cientifica e seguranca clinica, nao computacional.",,,other,,,
