case_id,name,body_chars,status_reason,security_relevance,evidence,frame_exclusion,confidence,note,annotation_seconds
LLM019,,15744,DISCORDANT,NONE,description,not_an_instruction_artifact,,"[CONCORDANCIA] Victor e Havillon, anotacao independente.",
LLM021,,6377,DISCORDANT,NONE,body,,,"[CONCORDANCIA] Victor e Havillon, anotacao independente.",
LLM029,verify-changes,2186,DISCORDANT,NONE,body,,,"[RECONCILIACAO 2026-09-13] Victor NONE x Havillon SECONDARY. Grupo 3 (qualidade que poderia encontrar seguranca). Decisao conjunta por reconciliacao mutua: NONE. Linters, testes e confiabilidade sao qualidade; o Guia §3 exige consideracao de seguranca no conteudo, nao a possibilidade de encontra-la como efeito colateral.",
LLM035,excalidraw,23037,DISCORDANT,NONE,body,,,"[CONCORDANCIA] Victor e Havillon, anotacao independente.",
LLM036,felt-construction,1919,DISCORDANT,SECONDARY,body,,,"[CONCORDANCIA] Victor e Havillon, anotacao independente.",
LLM041,dialogue-audio,8215,DISCORDANT,NONE,body,,,"[CONCORDANCIA] Victor e Havillon, anotacao independente.",
LLM045,fmprod-fmdel-crosswalk,2088,DISCORDANT,NONE,body,,,[RECONCILIACAO 2026-09-13] Victor NONE x Havillon SECONDARY. Grupo 2 (restricao ao agente). Decisao conjunta por reconciliacao mutua: NONE.,
LLM052,u09266-mentoring-and-coaching-design-for-sales-and-client-success,3135,DISCORDANT,NONE,body,,,"[RECONCILIACAO 2026-09-13] Victor NONE x Havillon SECONDARY. Grupo 3 (qualidade que poderia encontrar seguranca). Decisao conjunta por reconciliacao mutua: NONE. Linters, testes e confiabilidade sao qualidade; o Guia §3 exige consideracao de seguranca no conteudo, nao a possibilidade de encontra-la como efeito colateral.",
LLM067,,19445,DISCORDANT,NONE,description,not_an_instruction_artifact,,"[CONCORDANCIA] Victor e Havillon, anotacao independente.",
LLM071,mcp-builder,1760,DISCORDANT,NONE,body,,,"[CONCORDANCIA] Victor e Havillon, anotacao independente.",
LLM083,moai-domain-database,7452,DISCORDANT,SECONDARY,body,,,[CONCORDANCIA apos correcao de marcacao] Rotulo do Victor corrigido em 2026-09-13 por contradizer a propria nota.,
LLM085,docker,9696,DISCORDANT,SECONDARY,body,,,"[CONCORDANCIA] Victor e Havillon, anotacao independente.",
LLM089,cloud-functions,6577,DISCORDANT,NONE,body,,,[CONCORDANCIA apos correcao de marcacao] Rotulo do Victor corrigido em 2026-09-13 por contradizer a propria nota.,
LLM091,deploy,2518,DISCORDANT,NONE,body,,,[RECONCILIACAO 2026-09-13] Victor NONE x Havillon SECONDARY. Grupo 2 (restricao ao agente). Decisao conjunta por reconciliacao mutua: NONE.,
LLM095,quiver,1663,DISCORDANT,NONE,body,,,"[CONCORDANCIA] Victor e Havillon, anotacao independente.",
LLM096,draft-vendor-onboarding-questionnaire,9133,DISCORDANT,NONE,body,,,"[CONCORDANCIA] Victor e Havillon, anotacao independente.",
