case_id,name,body_chars,human_language,used_translation,security_relevance,security_focus,operational_security,operation_level,security_functions,security_concerns,operational_capability,evidence,confidence,rule_applied,grc_case,secondary_mention_boundary,annotation_seconds,difficulty,note
P001,podcast-script-writer,7781,tr,true,NONE,,false,,,,,,high,R-1,false,false,,easy,"Skill de roteirização de podcasts; não há objetivo, procedimento ou resultado de segurança computacional."
P002,fire-smoke-detection-analysis,5109,mixed,false,NONE,,false,,,,,,high,R-5,false,false,,easy,"Detecção de fogo/fumaça é segurança física/operacional, não segurança de sistemas computacionais."
P003,,944,en,false,MENTION,,false,,,,,body,medium,R-2,false,false,,hard,"OpenSea API é uma skill de consulta read-only. As regras de não assinar transações e não registrar API keys/authorization headers são preocupações explícitas de segurança computacional, porém incidentais e sem procedimento de análise de segurança. Classificada como MENTION; fronteira relevante é NONE vs MENTION, não SECONDARY."
P004,focused-fix,13767,en,false,NONE,,false,,,,,,high,R-4,false,false,,easy,“security: standard” aparece apenas no front matter; o comportamento é reparar features/módulos.
P005,android-arch-generator,2463,mixed,false,NONE,,false,,,,,,high,R-1,false,false,,easy,Gerador de boilerplate/arquitetura Android; nenhuma capacidade de segurança no trecho.
P006,network-payload-zero-knowledge-test,11822,en,false,PRIMARY,true,true,reasoning,DETECT;ASSESS;TEST,data_leakage;e2ee;zero_knowledge;secrets_exposure,reasoning_or_guidance;dynamic_analysis,description;body,high,R-1,false,false,,easy,"Auditoria de tráfego para testar alegações zero-knowledge/E2EE e detectar vazamento de plaintext, chaves, recovery secrets e metadata."
P007,bam-query,10873,mixed,false,NONE,,false,,,,,,high,R-1,false,false,,easy,"Ferramenta para testar/debugar interfaces RPC/HTTP; confirmação antes de requests de produção é controle operacional, não teste de segurança."
P008,threejs-shaders,15616,en,false,NONE,,false,,,,,,high,R-1,false,false,,easy,Tutorial/skill de shaders Three.js; nenhuma segurança computacional.
P009,xitter,5561,en,false,NONE,,false,,,,,,high,R-1,false,false,,easy,"Integração com X/Twitter; tokens e permissões são credenciais necessárias ao serviço, não uma capacidade de segurança."
P010,iaiso-deploy-consent-issuance,2447,en,false,PRIMARY,true,true,mixed,PREVENT,access_control;consent_tokens;cryptographic_keys;token_revocation,reasoning_or_guidance;command_execution,description;body,high,R-1,false,false,,easy,"Provisiona emissor de consent tokens como trust anchor para ações privilegiadas: algoritmo, chaves, issuer, TTL, revogação e rotação."
P011,springboot-verification,6016,mixed,true,SECONDARY,false,true,executable,DETECT;ASSESS,application_security;security_scanning,static_analysis;command_execution,description;body,medium,R-1,false,false,,medium,Loop de verificação Spring Boot inclui segurança como uma etapa coordenada de build/static analysis/tests/security scans.
P012,agentic-secrets-handling,1588,tr,true,PRIMARY,true,true,reasoning,PREVENT;RESPOND,secrets_management;credential_exposure;logging,reasoning_or_guidance;remediation,description;body,high,R-1,false,false,,easy,"Regras para armazenamento e mascaramento de API keys/kubeconfig/Juju credentials, rotação após vazamento e limpeza de histórico."
P013,crypto-architecture-review,7352,en,false,PRIMARY,true,true,reasoning,ASSESS,cryptography;e2ee;zero_knowledge;key_management;metadata_privacy,reasoning_or_guidance;source_code_analysis;configuration_analysis,description;body,high,R-1,false,false,,easy,"Revisão arquitetural de E2EE/zero-knowledge, hierarquia de chaves, nonces, KDF, recovery, sharing, revocation e metadata."
P014,gemini-review,24263,en,false,NONE,,false,,,,,,high,R-1,false,false,,easy,Revisor de planos/debug via Antigravity CLI; OAuth/credenciais aparecem apenas como setup.
P015,keep-changelog,6986,fr,true,NONE,,false,,,,,,high,R-1,false,false,,easy,Mantém CHANGELOG e versionamento SemVer; sem segurança computacional.
P016,股权结构穿透分析-equity-structure-qcc,3505,zh,true,NONE,,false,,,,,,high,R-10,true,false,,medium,"Due diligence societária/financeira: UBO, controle, partes relacionadas e risco de disputa; GRC sem objeto computacional."
P017,BE Migration,3478,vi,true,SECONDARY,false,true,executable,PREVENT;TEST,authorization;row_level_security;access_control,command_execution;reasoning_or_guidance,body,high,R-1,false,false,,medium,"Migração de schema Supabase inclui RLS obrigatório, policies CRUD por usuário e teste de policy."
P018,review,78810,en,false,SECONDARY,false,true,reasoning,ASSESS;DETECT,sql_safety;llm_trust_boundaries;code_security,source_code_analysis;reasoning_or_guidance,description,high,R-3,false,false,,medium,"Code review amplo cuja descrição inclui SQL safety e LLM trust-boundary violations como categorias concretas de falha a procurar. Segurança é uma dimensão substancial e acionável da revisão, mas não seu único propósito; portanto SECONDARY."
P019,add-app-clip,681,mixed,false,NONE,,false,,,,,,high,R-1,false,false,,easy,Configuração de iOS App Clip em Expo/React Native; sem segurança.
P020,security-fundamentals,39,ja,true,PRIMARY,true,false,n/a,PREVENT;ASSESS,authentication;authorization;input_validation;web_vulnerabilities,,description;body,high,R-1,false,false,,medium,"Propósito explicitamente centrado em princípios fundamentais de segurança, com auth/authz, dados sensíveis, validação de entrada, security review, XSS, SQL injection, CSRF e OWASP. R-1 sustenta PRIMARY. O procedimento detalhado está em INSTRUCTIONS.md não fornecido, por isso operational_security permanece false no material disponível."
P021,obsidian-incident-runbook,12139,en,false,NONE,,false,,,,,,high,R-5,false,false,,easy,"“Incident response” aqui é troubleshooting de falhas do Obsidian, não resposta a incidente cibernético."
P022,analyzing-ransomware-leak-site-intelligence,12970,en,false,PRIMARY,true,true,reasoning,DETECT;ASSESS,ransomware;threat_intelligence;data_leak_sites,reasoning_or_guidance;other,description;body,high,R-1,false,false,,easy,"Threat intelligence de sites de vazamento de ransomware para rastrear vítimas, táticas, grupos e risco setorial."
P023,architecture,9535,en,false,NONE,,false,,,,,,high,R-1,false,false,,easy,Documentação de arquitetura C4/Mermaid; sem função de segurança.
P024,configure-cicd-pipeline,5386,tr,true,NONE,,false,,,,,,high,R-1,false,false,,easy,"Configura CI/CD, build, testes, Docker, SonarQube como qualidade e deployment; não há security scan acionável no trecho."
P025,security-alert,6370,ja,true,PRIMARY,true,true,mixed,ASSESS;PREVENT,dependency_vulnerabilities;cve;ghsa,dependency_analysis;command_execution;remediation,description;body,high,R-1,false,false,,easy,"Triage e remediação de Dependabot security alerts GHSA/CVE, incluindo dependências transitivas, overrides, issue/PR e ADR."
P026,arabic-john-the-ripper,937,ar,true,AMBIGUOUS,,,,,,,description;body,low,R-8,false,false,,hard,"Nome/descrição mencionam John the Ripper e category cybersecurity, mas o corpo é apenas um template placeholder sem comportamento real. R-4 impede usar nome/category como prova substantiva; com evidência insuficiente, R-8 determina AMBIGUOUS e confidence low."
P027,configure-ingress-networking,12168,mixed,true,SECONDARY,false,true,mixed,PREVENT,tls;rate_limiting;authentication;waf;ingress_security,reasoning_or_guidance;command_execution;configuration_analysis,description;body,high,R-1,false,false,,medium,"Ingress Kubernetes tem objetivo amplo de networking, mas inclui TLS automatizado, rate limiting, autenticação e WAF como capacidades concretas."
P028,exploiting-deeplink-vulnerabilities,4247,zh,true,PRIMARY,true,true,mixed,TEST;DETECT,deeplink_vulnerabilities;unauthorized_access;injection;intent_hijacking;open_redirect,dynamic_analysis;exploitation;command_execution;source_code_analysis,description;body,high,R-1,false,false,,easy,"Pentest de deep links Android/iOS: enumeração, injeção, acesso não autorizado, intent/link hijacking e redirect manipulation."
P029,requesting-code-review,10620,en,false,SECONDARY,false,true,mixed,DETECT;ASSESS;PREVENT,hardcoded_secrets;shell_injection;unsafe_eval;unsafe_deserialization;sql_injection,static_analysis;secret_scanning;source_code_analysis;command_execution;remediation,description;body,high,R-1,false,false,,medium,"Pipeline de pre-commit amplo, com etapa explícita de static security scan e padrões concretos de secrets/injection/eval/pickle/SQLi."
P030,,27861,en,false,MENTION,,false,,,,,description,high,R-2,false,false,,easy,"Loki Mode orquestra 100+ agentes e apenas lista “security” como uma das áreas, sem capacidade de segurança no trecho."
P031,00-andruia-consultant,2840,es,false,NONE,,false,,,,,,high,R-4,false,false,,easy,Consultor de arquitetura/roadmap de IA; `@security-expert` aparece apenas como exemplo de especialista do squad.
P032,vscode-copilot,2460,mixed,false,MENTION,,false,,,,,body,medium,R-2,false,false,,medium,"Bridge OpenClaw↔VS Code Copilot; afirma que tráfego fica em localhost e dados não saem da máquina, mas não executa análise de segurança."
P033,source-command-backend-specialist,4929,en,false,SECONDARY,false,true,reasoning,PREVENT;ASSESS,authentication;authorization;input_validation;secrets_management,reasoning_or_guidance;source_code_analysis,description;body,high,R-1,false,false,,medium,"Backend architect amplo, mas segurança é uma dimensão obrigatória: validation, auth/authz strategy e check de hardcoded secrets."
P034,u05086-disaster-recovery-orchestration-for-education-support-services,3020,en,false,NONE,,false,,,,,,medium,R-1,false,false,,hard,"A skill operacionaliza disaster recovery/resilience com retries, rollback, approval gates, feature flags e telemetry, mas o trecho não relaciona recuperação a ameaça, vulnerabilidade, comprometimento ou incidente de segurança. Trata-se de resiliência/confiabilidade operacional; classificada como NONE."
P035,review,211,en,false,MENTION,,false,,,,,description;body,medium,R-2,false,true,,hard,"Review genérico lista trust boundaries e security risks entre prioridades de correctness, regressions, validation e tests. Não há checklist, categorias específicas de vulnerabilidade, ferramenta ou procedimento de security review; por R-2, a segurança é MENTION, com fronteira real para SECONDARY."
P036,review,6208,en,false,NONE,,false,,,,,,high,R-1,false,false,,easy,Review de Standards e Spec; nenhuma dimensão de segurança no trecho.
P037,rag,8515,ja,true,NONE,,false,,,,,,high,R-1,false,false,,easy,"RAG: ingestão de documentos, busca semântica e geração de respostas; sem segurança."
P038,monarch-money,4229,en,false,NONE,,false,,,,,,high,R-1,false,false,,easy,"Cliente/skill de finanças pessoais Monarch Money; login/MFA são requisitos de acesso, não capacidade de segurança."
P039,apify-reference-architecture,10471,en,false,NONE,,false,,,,,,high,R-1,false,false,,easy,Arquitetura de projetos Apify/Crawlee; sem capacidade de segurança no trecho.
P040,analyzing-supply-chain-malware-artifacts,5381,en,false,PRIMARY,true,true,mixed,DETECT;ASSESS,supply_chain_attack;malware;software_integrity;dependency_confusion,static_analysis;dependency_analysis;source_code_analysis;command_execution,description;body,high,R-1,false,false,,easy,"Investiga malware de supply chain, builds comprometidos, updates trojanizados e dependency confusion para achar vetor e escopo."
P041,,3187,en,false,NONE,,false,,,,,,high,R-1,false,false,,easy,Mecânica dos fluidos/engenharia; “validation” e “quality assurance” não são segurança computacional.
P042,purify-water,9464,es,false,NONE,,false,,,,,,high,R-5,false,false,,easy,"Purificação e “seguridad del agua” são segurança sanitária/física, fora de sistemas computacionais."
P043,,3520,zh,true,SECONDARY,false,true,executable,PREVENT,api_keys;credential_storage;secrets_management,command_execution;configuration_analysis,body,medium,R-1,false,true,,hard,"O objetivo principal é testar geração/edição de imagens, mas há credential handling concreto: API key obrigatória, uso por argumento/env, persistência em arquivo de credenciais com permissão 600 e regras de reuso/substituição. A skill continua funcionalmente voltada a imagens sem segurança, mas perderia uma capacidade operacional substancial; SECONDARY. Caso importante para adjudicar segurança da própria skill."
P044,azure-mgmt-fabric-dotnet,11227,en,false,NONE,,false,,,,,,high,R-1,false,false,,easy,SDK Azure Resource Manager Fabric; DefaultAzureCredential/service principal são meios de autenticação do SDK.
P045,security-access-control-reviewer,1315,ja,true,PRIMARY,true,true,reasoning,ASSESS;DETECT;PREVENT,authentication;authorization;rbac;ownership_boundaries;sensitive_data_exposure;cors;rate_limiting,reasoning_or_guidance;source_code_analysis;configuration_analysis,description;body,high,R-1,false,false,,easy,"Reviewer dedicado a access control: auth/authz, RBAC, ownership, exposição pública, dados sensíveis, CORS/rate limit e regressão."
P046,devops,1,en,false,MENTION,,false,,,,,description,low,R-2,false,false,,hard,"DevOps hub inclui “security” explicitamente entre tópicos de GitHub Actions, mas o corpo efetivo está vazio e não há qualquer procedimento ou capacidade de segurança descrita. Mantida como MENTION; não há evidência suficiente para SECONDARY."
P047,ptrade,39897,zh,true,NONE,,false,,,,,,high,R-5,false,false,,easy,"Plataforma de trading quantitativo; `g.security` no código significa ativo/título financeiro, não segurança computacional."
P048,java-pro,9413,pt,false,NONE,,false,,,,,,medium,R-1,false,false,,medium,Especialista Java 21+/Spring/cloud-native; trecho do reading pack não apresenta capacidade específica de segurança.
P049,Rails Cybersecurity,17258,pt,false,PRIMARY,true,true,mixed,PREVENT;DETECT;ASSESS,sql_injection;command_injection;xss;input_validation;rails_security,reasoning_or_guidance;source_code_analysis;static_analysis;command_execution,description;body,high,R-1,false,false,,easy,"Guia dedicado de segurança Rails/OWASP com padrões vulneráveis/seguros para SQLi, command injection, XSS e Brakeman."
P050,epistemic-arbitrage,6440,en,false,NONE,,false,,,,,,high,R-5,false,false,,easy,"“Exploiting knowledge differentials” usa exploit no sentido de aproveitar diferenças de conhecimento, não exploração de vulnerabilidades."
